username,stars
LiYuan199701,0.0
RenaLu,0.0
UCI-ML-course-team,0.0
thanhhau097,30.0
ronithbinny,10.0
QQQQ00243,30.0
mzhang367,30.0
dyhan0920,30.0
VIPL-Audio-Visual-Speech-Understanding,0.0
batuhan3526,30.0
KongBe1999,30.0
SMKamrulHasan,0.0
lihsintseng,0.0
JasonGUTU,30.0
Ram81,30.0
r4ghu,30.0
yytang2012,30.0
dnlcrl,30.0
lnhutnam,30.0
skyf0cker,30.0
yusonghust,
yangyang-nus-lv,30.0
KhalilWong,30.0
eminem171333491,30.0
SethurajS,1.0
Neeti-Jain,1.0
austindelatorre,9.0
AishuaiYao,20.0
phranq0,3.0
deoelvenmage,0.0
boringleric,16.0
lucabergamini,4.0
BodyCSoulN,10.0
rgibbonp89,4.0
liuyundong-2020,17.0
steveowk,30.0
xolbynz,26.0
uchida-takumi,20.0
AmanPriyanshu,27.0
weiyangfb,27.0
geekyutao,30.0
yaoceyi,26.0
wang678,30.0
NaturezzZ,30.0
nudibranc,1.0
tensorinfinitysip,0.0
a7031x,0.0
collector-m,0.0
liaomingg,5.0
enterpine,7.0
b53k,5.0
wb014,30.0
Jiangshan00001,30.0
shehuan,30.0
goksinan,0.0
tamtzehei,5.0
AryanSarswat,4.0
eqy,30.0
evavanrooijen,3.0
heojae,30.0
tonysy,30.0
ramjv,6.0
itmorn,8.0
HiiYL,30.0
Haruka0522,30.0
w00zie,30.0
cypw,30.0
zbxzc35,27.0
HuzaifaToor,0.0
tomguluson92,30.0
DawnHH,30.0
RayTeen,0.0
NuealYoon,6.0
ligerfotis,5.0
kdh0429,27.0
adapa160,0.0
zxy317,4.0
yourFriendlyNeighbour,0.0
linjx-ustc1106,30.0
CarterMcClellan,25.0
Shenyve0101,7.0
Natsu6767,30.0
Premkumar7090,10.0
tollymune,0.0
jungwon1413,30.0
lucky7323,30.0
AuCson,30.0
rg321,30.0
martinwhl,26.0
mgharbi,13.0
Sayantan17,7.0
pratyush-1,3.0
Zchhh73,23.0
Prince9403,0.0
nikhilbudathoki,5.0
jweig0ld,2.0
suraj-maniyar,30.0
bnusss,0.0
security-softwares,
yingmuying,8.0
BurnhamG,0.0
shengteng19,0.0
ModelBunker,0.0
woojoo99,
wangwang1125,5.0
Donghwa-KIM,26.0
BizhuWu,30.0
randomMatrix77,0.0
abdxxw,3.0
concordiaca,30.0
aloomya,9.0
LoredCast,17.0
songyouwei,30.0
DongKeon,30.0
saidalfaraby,4.0
NeedC,20.0
ki-ljl,30.0
elvisyjlin,30.0
Thorimus,0.0
cjwcommuny,30.0
NULL-2019,3.0
nxu96,30.0
DanielCoelho112,30.0
ralcant,24.0
lorrywu,1.0
nicknochnack,4.0
raheelqader,6.0
shizhediao,30.0
IzzyBrand,3.0
zihaog0724,30.0
packyan,30.0
nikhilbarhate99,30.0
ricohasgithub,30.0
AmitNativ1984,3.0
rllelmz,0.0
samx97,16.0
gplast,30.0
DebasmitaGhose,30.0
ptklx,30.0
shanemankiw,30.0
stuartnankai,30.0
hanzlfs,4.0
FCYtheFreeman,30.0
zcemycl,30.0
STK101,30.0
wangjl-nju-2020,4.0
imdsafi09,14.0
CurtesMalteser,7.0
vnj64,8.0
eveningdong,6.0
Major357,25.0
youssefshoeb,0.0
yangyuke001,30.0
sharathmaidargi,1.0
ORANKWON,29.0
